[2017-07-14 13:17:52] Downloading update (6,257 of 6,284 KB)...
[2017-07-14 13:17:52] Downloading update (6,270 of 6,284 KB)...
[2017-07-14 13:17:53] Downloading update (6,284 of 6,284 KB)...
[2017-07-14 13:17:53] Download Complete.
[2017-07-14 13:17:53] uninstalled manifest found in E:\Steamcmd\package\steam_cmd_win32 (1).
[2017-07-14 13:17:53] Found pending update
[2017-07-14 13:17:53] Applying update...
[2017-07-14 13:17:53] Extracting package...
[2017-07-14 13:17:53] Installing update...
[2017-07-14 13:17:54] Committing NTFS transaction (0 non-transactional backup files)
[2017-07-14 13:17:54] Cleaning up...
[2017-07-14 13:17:54] Update complete, launching...
[2017-07-14 13:17:54] Shutdown


[2017-07-14 13:20:31] Startup - updater built May 30 2017 09:31:34
[2017-07-14 13:20:31] Checking for update on startup
[2017-07-14 13:20:31] 正在检查可用更新...
[2017-07-14 13:20:32] Download failed: http error 0 (client-download.steampowered.com/client/steam_cmd_win32)
[2017-07-14 13:20:33] Download skipped: /client/steam_cmd_win32 version 1496167025, installed version 1496167025
[2017-07-14 13:20:33] Nothing to do
[2017-07-14 13:20:33] 正在验证安装...
[2017-07-14 13:20:33] Performing checksum verification of executable files
[2017-07-14 13:20:33] Verification complete


[2017-07-14 13:22:24] Startup - updater built May 30 2017 09:31:34
[2017-07-14 13:22:25] Checking for update on startup
[2017-07-14 13:22:25] 正在检查可用更新...
[2017-07-14 13:22:25] Download failed: http error 0 (client-download.steampowered.com/client/steam_cmd_win32)
[2017-07-14 13:22:26] Download skipped: /client/steam_cmd_win32 version 1496167025, installed version 1496167025
[2017-07-14 13:22:26] Nothing to do
[2017-07-14 13:22:26] 正在验证安装...
[2017-07-14 13:22:26] Performing checksum verification of executable files
[2017-07-14 13:22:26] Verification complete


[2017-07-14 16:05:14] Startup - updater built May 30 2017 09:31:34
[2017-07-14 16:05:14] Checking for update on startup
[2017-07-14 16:05:14] 正在检查可用更新...
[2017-07-14 16:05:16] Download skipped: /client/steam_cmd_win32 version 1496167025, installed version 1496167025
[2017-07-14 16:05:16] Nothing to do
[2017-07-14 16:05:16] 正在验证安装...
[2017-07-14 16:05:16] Performing checksum verification of executable files
[2017-07-14 16:05:16] Verification complete


[2017-07-14 17:07:05] Startup - updater built May 30 2017 09:31:34
[2017-07-14 17:07:05] Checking for update on startup
[2017-07-14 17:07:05] 正在检查可用更新...
[2017-07-14 17:07:06] Download failed: http error 0 (client-download.steampowered.com/client/steam_cmd_win32)
[2017-07-14 17:07:08] Download skipped: /client/steam_cmd_win32 version 1496167025, installed version 1496167025
[2017-07-14 17:07:08] Nothing to do
[2017-07-14 17:07:08] 正在验证安装...
[2017-07-14 17:07:08] Performing checksum verification of executable files
[2017-07-14 17:07:08] Verification complete


[2017-07-14 18:42:25] Startup - updater built May 30 2017 09:31:34
[2017-07-14 18:42:25] Checking for update on startup
[2017-07-14 18:42:25] 正在检查可用更新...
[2017-07-14 18:42:26] Download skipped: /client/steam_cmd_win32 version 1496167025, installed version 1496167025
[2017-07-14 18:42:26] Nothing to do
[2017-07-14 18:42:26] 正在验证安装...
[2017-07-14 18:42:26] Performing checksum verification of executable files
[2017-07-14 18:42:26] Verification complete


[2017-07-14 18:44:06] Startup - updater built May 30 2017 09:31:34
[2017-07-14 18:44:06] Checking for update on startup
[2017-07-14 18:44:06] 正在检查可用更新...
[2017-07-14 18:44:07] Download skipped: /client/steam_cmd_win32 version 1496167025, installed version 1496167025
[2017-07-14 18:44:07] Nothing to do
[2017-07-14 18:44:07] 正在验证安装...
[2017-07-14 18:44:07] Performing checksum verification of executable files
[2017-07-14 18:44:07] Verification complete


[2017-07-14 18:44:20] Startup - updater built May 30 2017 09:31:34
[2017-07-14 18:44:20] Checking for update on startup
[2017-07-14 18:44:20] 正在检查可用更新...
[2017-07-14 18:44:21] Download skipped: /client/steam_cmd_win32 version 1496167025, installed version 1496167025
[2017-07-14 18:44:21] Nothing to do
[2017-07-14 18:44:21] 正在验证安装...
[2017-07-14 18:44:21] Performing checksum verification of executable files
[2017-07-14 18:44:21] Verification complete


[2017-07-14 18:47:32] Startup - updater built May 30 2017 09:31:34
[2017-07-14 18:47:32] Checking for update on startup
[2017-07-14 18:47:32] 正在检查可用更新...
[2017-07-14 18:47:33] Download skipped: /client/steam_cmd_win32 version 1496167025, installed version 1496167025
[2017-07-14 18:47:33] Nothing to do
[2017-07-14 18:47:33] 正在验证安装...
[2017-07-14 18:47:33] Performing checksum verification of executable files
[2017-07-14 18:47:33] Verification complete


[2017-07-14 19:29:27] Startup - updater built May 30 2017 09:31:34
[2017-07-14 19:29:32] Checking for update on startup
[2017-07-14 19:29:32] 正在检查可用更新...
[2017-07-14 19:29:40] Download skipped: /client/steam_cmd_win32 version 1496167025, installed version 1496167025
[2017-07-14 19:29:40] Nothing to do
[2017-07-14 19:29:40] 正在验证安装...
[2017-07-14 19:29:40] Performing checksum verification of executable files
[2017-07-14 19:29:40] Verification complete
